
-- Action --
+---------+------------+---------------------+--------------------+
| ID      | Activity   | Domain              | Type               |
| ACTN80  | A6         | Elevator Management | cast to instance   |
| ACTN81  | A6         | Elevator Management | restrict           |
| ACTN82  | A6         | Elevator Management | cast to instance   |
| ACTN83  | A6         | Elevator Management | gate               |
| ACTN84  | A6         | Elevator Management | decision           |
| ACTN85  | A6         | Elevator Management | method call        |
| ACTN86  | A6         | Elevator Management | type action        |
| ACTN87  | A6         | Elevator Management | computation        |
| ACTN88  | A6         | Elevator Management | computation        |
| ACTN89  | A6         | Elevator Management | restrict           |
| ACTN90  | A6         | Elevator Management | cast to instance   |
| ACTN91  | A6         | Elevator Management | restrict           |
| ACTN92  | A6         | Elevator Management | cast to instance   |
| ACTN93  | A6         | Elevator Management | gate               |
| ACTN94  | A6         | Elevator Management | decision           |
| ACTN96  | A6         | Elevator Management | read               |
| ACTN97  | A6         | Elevator Management | type action        |
| ACTN95  | A6         | Elevator Management | method call        |
| ACTN98  | A6         | Elevator Management | computation        |
| ACTN99  | A6         | Elevator Management | computation        |
| ACTN100 | A6         | Elevator Management | computation        |
| ACTN101 | A6         | Elevator Management | decision           |
| ACTN102 | A6         | Elevator Management | computation        |
| ACTN103 | A6         | Elevator Management | computation        |
| ACTN104 | A6         | Elevator Management | restrict           |
| ACTN105 | A6         | Elevator Management | cast to instance   |
| ACTN106 | A6         | Elevator Management | restrict           |
| ACTN107 | A6         | Elevator Management | cast to instance   |
| ACTN108 | A6         | Elevator Management | gate               |
| ACTN109 | A6         | Elevator Management | decision           |
| ACTN111 | A6         | Elevator Management | read               |
| ACTN112 | A6         | Elevator Management | type action        |
| ACTN110 | A6         | Elevator Management | method call        |
| ACTN113 | A6         | Elevator Management | computation        |
| ACTN114 | A6         | Elevator Management | pass               |
| ACTN115 | A6         | Elevator Management | pass               |
| ACTN116 | A6         | Elevator Management | gate               |
| ACTN117 | A6         | Elevator Management | decision           |
| ACTN118 | A6         | Elevator Management | computation        |
| ACTN119 | A6         | Elevator Management | restrict           |
| ACTN120 | A6         | Elevator Management | cast to instance   |
| ACTN121 | A6         | Elevator Management | restrict           |
| ACTN122 | A6         | Elevator Management | cast to instance   |
| ACTN123 | A6         | Elevator Management | gate               |
| ACTN124 | A6         | Elevator Management | decision           |
| ACTN125 | A6         | Elevator Management | method call        |
| ACTN126 | A6         | Elevator Management | type action        |
| ACTN127 | A6         | Elevator Management | computation        |
| ACTN128 | A6         | Elevator Management | computation        |
| ACTN129 | A6         | Elevator Management | computation        |
| ACTN130 | A6         | Elevator Management | traverse           |
| ACTN131 | A6         | Elevator Management | read               |
| ACTN132 | A6         | Elevator Management | computation        |
| ACTN133 | A6         | Elevator Management | traverse           |
| ACTN134 | A6         | Elevator Management | read               |
| ACTN135 | A6         | Elevator Management | computation        |
| ACTN136 | A6         | Elevator Management | decision           |
| ACTN137 | A6         | Elevator Management | computation        |
| ACTN1   | A8         | Elevator Management | traverse           |
| ACTN2   | A8         | Elevator Management | read               |
| ACTN3   | A8         | Elevator Management | read               |
| ACTN4   | A8         | Elevator Management | read               |
| ACTN5   | A8         | Elevator Management | decision           |
| ACTN7   | A8         | Elevator Management | gate               |
| ACTN6   | A8         | Elevator Management | signal             |
| ACTN2   | A9         | Elevator Management | signal             |
| ACTN1   | A10        | Elevator Management | read               |
| ACTN2   | A10        | Elevator Management | computation        |
| ACTN3   | A10        | Elevator Management | signal             |
| ACTN4   | A10        | Elevator Management | decision           |
| ACTN1   | A12        | Elevator Management | read               |
| ACTN2   | A12        | Elevator Management | type action        |
| ACTN3   | A12        | Elevator Management | write              |
| ACTN4   | A12        | Elevator Management | read               |
| ACTN5   | A12        | Elevator Management | type action        |
| ACTN6   | A12        | Elevator Management | write              |
| ACTN7   | A12        | Elevator Management | read               |
| ACTN8   | A12        | Elevator Management | signal             |
| ACTN9   | A12        | Elevator Management | decision           |
| ACTN11  | A12        | Elevator Management | traverse           |
| ACTN10  | A12        | Elevator Management | signal             |
| ACTN1   | A13        | Elevator Management | read               |
| ACTN2   | A13        | Elevator Management | type action        |
| ACTN3   | A13        | Elevator Management | write              |
| ACTN5   | A13        | Elevator Management | traverse           |
| ACTN4   | A13        | Elevator Management | signal             |
| ACTN1   | A14        | Elevator Management | read               |
| ACTN2   | A14        | Elevator Management | type action        |
| ACTN3   | A14        | Elevator Management | write              |
| ACTN4   | A14        | Elevator Management | read               |
| ACTN5   | A14        | Elevator Management | traverse           |
| ACTN6   | A14        | Elevator Management | read               |
| ACTN7   | A14        | Elevator Management | computation        |
| ACTN8   | A14        | Elevator Management | signal             |
| ACTN9   | A14        | Elevator Management | read               |
| ACTN10  | A14        | Elevator Management | type action        |
| ACTN11  | A14        | Elevator Management | write              |
| ACTN12  | A14        | Elevator Management | signal             |
| ACTN13  | A14        | Elevator Management | decision           |
| ACTN2   | A15        | Elevator Management | traverse           |
| ACTN1   | A15        | Elevator Management | signal             |
| ACTN1   | A17        | Elevator Management | traverse           |
| ACTN2   | A17        | Elevator Management | signal             |
| ACTN3   | A17        | Elevator Management | signal             |
| ACTN4   | A17        | Elevator Management | decision           |
| ACTN2   | A19        | Elevator Management | traverse           |
| ACTN3   | A19        | Elevator Management | read               |
| ACTN1   | A19        | Elevator Management | signal             |
| ACTN1   | A21        | Elevator Management | traverse           |
| ACTN2   | A21        | Elevator Management | method call        |
| ACTN3   | A21        | Elevator Management | signal             |
